Handle,Vendor,Variant Price,Variant Barcode,Cost per item,Supplier
fauna-marin-balling-light-magnesium,,42.99,'4260119453562,30.09
fauna-marin-balling-kit-alkalinite,,42.99,'4260119453548,30.09
fauna-marin-balling-kit-alkalinite,,69.99,'4260119451209,48.99
bacto-energy,Fauna Marin,31.99,'4260119450530,22.39
bacto-energy,,52.99,'4260119450547,37.09
bacto-blend,Fauna Marin,35.99,'4260119452633,25.19
bacto-blend,,55.99,'4260119452640,39.19
bacto-balls,Fauna Marin,29.99,'4260119453401,20.99
bacto-balls,,55.99,'4260119453418,39.19
amin,Fauna Marin,52.99,'4260119450479,37.09
amin,,79.99,'4260119450486,55.99
aefw-x,Fauna Marin,52.99,'4260119458314,48.99
aefw-x,,93.99,'4260119458321,87.49
eheim-chauffe-eau-thermocontrol,,38.99,'720686361362,27.3
eheim-chauffe-eau-thermocontrol,,39.99,'72063613,27.3
eheim-chauffe-eau-thermocontrol,,46.99,'720686361591,33.67
caribsea-moonlight-sand,,39.99,'008479008206,21.19
chemiclean,Boyd Entreprises,24.99,'719958167146,13.98
cartouche-charbon-robuddy,AquaticLife,13.99,'810957012502,8.43
cartouche-sediment-robuddy,AquaticLife,12.99,'810957012496,6.99
robuddy-4-stages,AquaticLife,149.99,'810957010195,75.86
robuddy-3-stage,AquaticLife,112.99,'810957010164,71.81
aquaillumination-pompe-nero-5,AquaIllumination,334.99,'653341188229,217.25
membrane-rodi-100gpd,AquaFX,59.99,C210119331T090,24.18
api-sel-daquarium,API,13.99,'317163021064,6.64
