Handle,,,Vendor,Product Category,Type,,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Status
rosy-loach-tuberoschistura-arakanensis,,,AquaZen,,Poisson,,TRUE,Title,Default Title,,,,,,0,shopify,50,deny,manual,5.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Rosy.jpg?v=1714511546,1,,FALSE,,,,,,,,,,,,,,,kg,,2.38,TRUE,,,TRUE,,,active
bumble-bee-platy-xiphophorus-maculatus,,,AquaZen,,Poisson,,TRUE,Title,Default Title,,,,,,0,shopify,25,deny,manual,6.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Bumblebee.png?v=1714511058,1,,FALSE,,,,,,,,,,,,,,,kg,,3.24,TRUE,,,TRUE,,,active
tropica-bucephalandra-kedagang,,,Tropica,,Plante,,TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,16.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Bucephalandra_Kedagang.jpg?v=1713894899,1,,FALSE,,,,,,,,,,,,,,,kg,,8.77,TRUE,,,TRUE,,,active
tropica-bucephalandra-kedagang,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/3_b092b4f4-adfa-4875-b864-f29f946193a4.jpg?v=1713978701,2,,,,,,,,,,,,,,,,,,,,,,,,,,
tropica-bucephalandra-kedagang,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/4_2_91a8edda-bbd4-4c46-811e-a3aa9a8e52e4.jpg?v=1713978701,3,,,,,,,,,,,,,,,,,,,,,,,,,,
tropica-anubias-barteri-var-caladiifolia,,,Tropica,,Plante,,TRUE,Title,Default Title,,,,,,0,shopify,2,deny,manual,16.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Anubiasbarterivar.caladiifolia.png?v=1713894705,1,,FALSE,,,,,,,,,,,,,,,kg,,8.77,TRUE,,,TRUE,,,active
tropica-anubias-barteri-var-caladiifolia,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/4_1.png?v=1713978486,2,,,,,,,,,,,,,,,,,,,,,,,,,,
tropica-anubias-barteri-var-caladiifolia,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/5_1_9c0190f6-b51e-4fa6-9936-31c03dc6223b.jpg?v=1713978486,3,,,,,,,,,,,,,,,,,,,,,,,,,,
tropica-anubias-barteri-var-glabra-1,,,Tropica,,Plante,,TRUE,Title,Default Title,,,,,,0,shopify,4,deny,manual,16.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Anubiaglabra.png?v=1713894024,1,,FALSE,,,,,,,,,,,,,,,kg,,8.77,TRUE,,,TRUE,,,active
tropica-anubias-barteri-var-glabra-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/4_2.png?v=1713978535,2,,,,,,,,,,,,,,,,,,,,,,,,,,
tropica-anubias-barteri-var-glabra-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/5_2_4f20cdf0-ed1c-4218-9232-27b83a8aa57f.jpg?v=1713978535,3,,,,,,,,,,,,,,,,,,,,,,,,,,
tropica-anubias-barteri-var-barteri,,,Tropica,,Plante,,TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,16.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/2_4.png?v=1713019307,1,,FALSE,,,,,,,,,,,,,,,kg,,8.77,TRUE,,,TRUE,,,active
tropica-anubias-barteri-var-barteri,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/5_041b5bbb-a948-4c8e-a537-0f74f42263e2.jpg?v=1713978453,2,,,,,,,,,,,,,,,,,,,,,,,,,,
tropica-anubias-barteri-var-barteri,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/4_b4a8daee-9dd9-4bff-9324-a0d907c43d44.png?v=1713978453,3,,,,,,,,,,,,,,,,,,,,,,,,,,
staurogyne-repens-1,,,Tropica,,Plante,,TRUE,Title,Default Title,,,,,,0,shopify,2,deny,manual,16.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/2_3.png?v=1713018975,1,,FALSE,,,,,,,,,,,,,,,kg,,8.77,TRUE,,,TRUE,,,active
staurogyne-repens-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/3_5_96e5536f-95bd-4793-a40b-d102ecb52199.png?v=1713979011,2,,,,,,,,,,,,,,,,,,,,,,,,,,
staurogyne-repens-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/4_6_2841e735-87cf-47f0-875a-1be98047d059.jpg?v=1713979011,3,,,,,,,,,,,,,,,,,,,,,,,,,,
microsorum-pteropus-trident-1,,,Tropica,,Plante,,TRUE,Title,Default Title,,,,,,0,shopify,2,deny,manual,16.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/2_2.png?v=1713018895,1,,FALSE,,,,,,,,,,,,,,,kg,,8.77,TRUE,,,TRUE,,,active
microsorum-pteropus-trident-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/4_5_055efddb-4c3c-42cf-8127-6502e4a03868.jpg?v=1713978952,2,,,,,,,,,,,,,,,,,,,,,,,,,,
microsorum-pteropus-trident-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/5_5_cb0a1499-49f0-4c7e-8110-78655fa4e8e1.jpg?v=1713978951,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ludwigia-repens-rubin,,,Tropica,,Plante,,TRUE,Title,Default Title,,,,,,0,shopify,2,deny,manual,12.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/2_1.png?v=1713018802,1,,FALSE,,,,,,,,,,,,,,,kg,,6.85,TRUE,,,TRUE,,,active
ludwigia-repens-rubin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/3_4_60aa627e-92be-4626-a839-6ebc545cdf07.png?v=1713978861,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ludwigia-repens-rubin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/4_4_ff59af06-06d6-46b1-bddc-b7ada0b6436f.jpg?v=1713978861,3,,,,,,,,,,,,,,,,,,,,,,,,,,
tropica-ludwigia-palustris-super-red,,,Tropica,,Plante,,TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,12.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/2.png?v=1713018747,1,,FALSE,,,,,,,,,,,,,,,kg,,5.85,TRUE,,,TRUE,,,active
tropica-ludwigia-palustris-super-red,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/3_3_473a2e88-7f46-48eb-a9d5-8deb7406d406.png?v=1713978834,2,,,,,,,,,,,,,,,,,,,,,,,,,,
tropica-ludwigia-palustris-super-red,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/4_3_7eb90105-f2ed-4b83-bc9a-770a17aec4b4.jpg?v=1713978834,3,,,,,,,,,,,,,,,,,,,,,,,,,,
snowball-shrimp-neocaridina-sp,,,AquaZen,,Invertébrés,,TRUE,Title,Default Title,,,,,,0,shopify,22,deny,manual,5.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Snowball-shrimp-1.jpg?v=1712940408,1,,FALSE,,,,,,,,,,,,,,,kg,,3.16,TRUE,,,TRUE,,,active
threadfin-rainbowfish-iriatherina-werneri,,,AquaZen,,Poisson,,TRUE,Size,Unité,,,,,,0,shopify,10,deny,manual,6.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/threadfin-rainbow-fish-wattley-discus.jpg?v=1712939677,1,,FALSE,,,,,,,,,,,,,,,kg,,3.16,TRUE,,,TRUE,,,active
threadfin-rainbowfish-iriatherina-werneri,,,,,,,,,5,,,,,,0,shopify,2,deny,manual,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,kg,,3.16,,,,,,,
rasbora-espei-rasbora-espei,,,AquaZen,,Poisson,,TRUE,Size,Unité,,,,,,0,shopify,34,deny,manual,4.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Espei.png?v=1712939287,1,,FALSE,,,,,,,,,,,,,,,kg,,1.8,TRUE,,,TRUE,,,active
rasbora-espei-rasbora-espei,,,,,,,,,10,,,,,,0,shopify,3,deny,manual,40,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,kg,,1.8,,,,,,,
uns-filtreur-delta-120,,,UNS,,Filtration,,TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,349.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Delta-90-120-Aquarium-Canister-Filter-2_306758d1-523b-42f5-ae9a-473c15710f2c.jpg?v=1712878695,1,,FALSE,,,,,,,,,,,,,,,kg,,185,TRUE,,,TRUE,,,active
uns-filtreur-delta-120,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Delta-90-120-Aquarium-Canister-Filter-1_1ecc2fc5-a93f-493d-aff9-66eaca0f8eda.jpg?v=1712878691,2,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-filtreur-delta-120,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/DSC00167_7216bfae-af4c-49fe-a064-28d2384fd106.jpg?v=1712878722,3,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-filtreur-delta-120,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Delta-120-Aquarium-Canister-Filter-Handle_7169111e-3d36-47c5-aa6e-7b301cb1902a.jpg?v=1712878698,4,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-filtreur-delta-120,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Delta-120-Aquarium-Canister-Filter-Flow-Valve_8d418fbc-aa41-4bf6-9c41-439cbcafdaba.jpg?v=1712878698,5,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-filtreur-delta-120,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-DELTA-120-FILTER-PARTS-2_01313ee1-8a3b-4ffa-9cca-ead92938da6a.jpg?v=1712878699,6,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-filtreur-delta-120,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Delta-120-Aquarium-Canister-Filter-Clamp_011a9e67-d67e-443f-a173-197327d441be.jpg?v=1712878705,7,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-filtreur-delta-120,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/DSC00123_b97ee195-a4ac-4b9b-8a20-f2abc9b5e37d.jpg?v=1712878718,8,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-filtreur-delta-120,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/DSC00158_93d9c699-f826-40e2-8492-0610630a64bf.jpg?v=1712878722,9,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-filtreur-delta-90,,,UNS,,Filtration,,TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,279.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Delta-90-120-Aquarium-Canister-Filter-1.jpg?v=1712878386,1,,FALSE,,,,,,,,,,,,,,,kg,,160,TRUE,,,TRUE,,,active
uns-filtreur-delta-90,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Delta-90-120-Aquarium-Canister-Filter-2.jpg?v=1712878390,2,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-filtreur-delta-90,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Delta-120-Aquarium-Canister-Filter-Handle.jpg?v=1712878392,3,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-filtreur-delta-90,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Delta-120-Aquarium-Canister-Filter-Flow-Valve.jpg?v=1712878395,4,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-filtreur-delta-90,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-DELTA-120-FILTER-PARTS-2.jpg?v=1712878396,5,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-filtreur-delta-90,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Delta-120-Aquarium-Canister-Filter-Clamp.jpg?v=1712878398,6,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-filtreur-delta-90,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/DSC00123.jpg?v=1712878400,7,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-filtreur-delta-90,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/DSC00167.jpg?v=1712878400,8,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-filtreur-delta-90,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/DSC00158.jpg?v=1712878404,9,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-co2-cylindre-2-5-lbs,,,UNS,,CO2,,TRUE,Title,Default Title,,,,,,0,shopify,3,deny,manual,139.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/0agpA4A.png?v=1712877886,1,,FALSE,,,,,,,,,,,,,,,kg,,85,TRUE,,,TRUE,,,active
uns-pro-dual-stage-co2-regulator,,,UNS,,CO2,,TRUE,Title,Default Title,,,,,,0,shopify,0,deny,manual,319.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Pro-CO2-Regulator-1.jpg?v=1712877666,1,,FALSE,,,,,,,,,,,,,,,kg,,210,TRUE,,,TRUE,,,active
uns-pro-dual-stage-co2-regulator,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Pro-CO2-Regulator-5.jpg?v=1712877668,2,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-pro-dual-stage-co2-regulator,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Pro-CO2-Regulator-4.jpg?v=1712877670,3,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-pro-dual-stage-co2-regulator,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Pro-CO2-Regulator-9.jpg?v=1712877672,4,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-pro-dual-stage-co2-regulator,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Pro-CO2-Regulator-3.jpg?v=1712877673,5,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-pro-dual-stage-co2-regulator,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Pro-CO2-Regulator-7.jpg?v=1712877674,6,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-mini-dual-stage-co2-regulator,,,UNS,,CO2,,TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,239.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Mini-CO2-Regulator-1.jpg?v=1712877396,1,,FALSE,,,,,,,,,,,,,,,kg,,165,TRUE,,,TRUE,,,active
uns-mini-dual-stage-co2-regulator,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Mini-CO2-Regulator-5.jpg?v=1712877398,2,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-mini-dual-stage-co2-regulator,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Mini-CO2-Regulator-6.jpg?v=1712877400,3,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-mini-dual-stage-co2-regulator,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Mini-CO2-Regulator-3.jpg?v=1712877401,4,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-mini-dual-stage-co2-regulator,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Mini-CO2-Regulator-2.jpg?v=1712877404,5,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-mini-dual-stage-co2-regulator,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-Systems-UNS-Mini-CO2-Regulator-7.jpg?v=1712877405,6,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-controsand-santa-fe,,,UNS,,Substrats,,TRUE,Size,8L,,,,,,0,shopify,1,deny,manual,42.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/qzf1Xh7.png?v=1712875929,1,,FALSE,,,,,,,,,,,,,,,kg,,25,TRUE,,,TRUE,,,active
uns-controsand-santa-fe,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-System-Normal-Santa-Fe-7-427x427.jpg?v=1712875930,2,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-controsand-bora,,,UNS,,Substrats,,TRUE,Size,3L,,,,,,0,shopify,1,deny,manual,22.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/01UKxYv.png?v=1712875402,1,,FALSE,,,,,,,,,,,,,,,kg,,12.5,TRUE,,,TRUE,,,active
uns-controsand-bora,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-System-Extra-Fine-Bora-7-427x427.jpg?v=1712875403,2,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-controsand-mojave,,,UNS,,Substrats,,TRUE,Size,3L,,,,,,0,shopify,4,deny,manual,22.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/H6GTtgs.png?v=1712875025,1,,FALSE,,,,,,,,,,,,,,,kg,,12.5,TRUE,,,TRUE,,,active
uns-controsand-mojave,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-System-Extra-Fine-Mojave-7-427x427.jpg?v=1712875026,2,,,,,,,,,,,,,,,,,,,,,,,,,,
uns-controsand-tahoe,,,UNS,,Substrats,,TRUE,Size,8L,,,,,,0,shopify,4,deny,manual,42.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/tahoe.png?v=1712874364,1,,FALSE,,,,,,,,,,,,,,,kg,,25,TRUE,,,TRUE,,,active
uns-controsand-tahoe,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/Ultum-Nature-System-Normal-Tahoe-7-427x427.jpg?v=1712874364,2,,,,,,,,,,,,,,,,,,,,,,,,,,
